Index,Latitude,Longitude,Altitude_M
0,24.212,83.0325,60
1,24.2124,83.0325,60
2,24.212799999999998,83.0325,60
3,24.213199999999997,83.0325,60
4,24.213599999999996,83.0325,60
5,24.213599999999996,83.033,60
6,24.213199999999997,83.033,60
7,24.212799999999998,83.033,60
8,24.2124,83.033,60
9,24.212,83.033,60
10,24.212,83.0335,60
11,24.2124,83.0335,60
12,24.212799999999998,83.0335,60
13,24.213199999999997,83.0335,60
14,24.213599999999996,83.0335,60
15,24.213599999999996,83.034,60
16,24.213199999999997,83.034,60
17,24.212799999999998,83.034,60
18,24.2124,83.034,60
19,24.212,83.034,60
20,24.212,83.03450000000001,60
21,24.2124,83.03450000000001,60
22,24.212799999999998,83.03450000000001,60
23,24.213199999999997,83.03450000000001,60
24,24.213599999999996,83.03450000000001,60
25,24.213599999999996,83.03500000000001,60
26,24.213199999999997,83.03500000000001,60
27,24.212799999999998,83.03500000000001,60
28,24.2124,83.03500000000001,60
29,24.212,83.03500000000001,60
30,24.212,83.03550000000001,60
31,24.2124,83.03550000000001,60
32,24.212799999999998,83.03550000000001,60
33,24.213199999999997,83.03550000000001,60
34,24.213599999999996,83.03550000000001,60
